Speaker 1:          00:00:03       Oh you dirty freaks.

Speaker 2:          00:00:05       It is Monday April 22nd. Two days after 420 and I'm here with my man Tony Hinchcliffe. He has never been an individual guest on the podcast for but we've done podcast before under the Icehouse Chronicles which by the way is available on the desk one label on iTunes as well as the whole areas. KEVIN PEREIRA As podcast called pointless muff said if you want to hear chicks talk about sucking decks and stuff.

Speaker 3:          00:00:36       Oh that's video games and comic books. Well how about we just give him a little false advertising. Brian maybe.

Speaker 4:          00:00:46       Maybe you get more people don't you know what this country runs on son. No I'm upset with what's right. Ryan killed Ryan Kelly.

Speaker 5:          00:00:53       Very very funny and talented Ryan Keeling and Brian also does a gang of shows and he's doing some soon in San Francisco and Sacramento at the punch line in Sacramento. And with this man Tony Hinchcliffe you'll be there as well. And what were we doing the apples here. Yeah I was talking about this. Tony. Tony it's because finance. I was Tony road. It's great. He cries when you fuck him. But.

Speaker 6:          00:01:19       Here here here here.

Speaker 5:          00:01:22       But tell that to legendary comedy clubs Sam Tripoli as well our boy Sam Tripoli who's one of my very good friends in comedy for many many years. He's a fucking beautiful human being I love that guy and very funny as well. And so they are at Cobb's on Sunday May 5th and May 3rd and 4th they're at the punch line in Sacramento. And if you've never been to the punch line in Sacramento I've never been to a comedy club. The punch line in Sacramento is like one of the perfect comedy clubs to go to because it's been around for ever. This as well as places like I don't remember the first time I worked there. But it was well over a decade ago it's a bad ass old school comedy club and some great great great comedy has been done on that stage perfectly set out really intimate seating.

Speaker 5:          00:02:05       So it's a bad ass place to see three very funny guy. So May 3rd and 4th at the punch line in Sacramento and May 5th at Cobb's and in San Francisco and there might be a surprise guest there might not be though too there might not be may be AIDS get stronger maybe World War Z is for real but maybe there's gonna be a big guest maybe there's a lot a lot of times you can't say because the reason being I'd say if you're doing a show like this like we might have a friend that's in town it says hey I want to do the show but they don't want to advertise because they have a committed gig within X amount of miles with an X amount of months and sometimes not supposed to say that you're doing a gig like that's why.

Speaker 2:          00:02:46       Like if you go to like some some guys you don't have a hard time with the Comedy Store for putting your name up there because they would have like a gig they were doing in a big place or try to sell tickets for. So we'd have an arrangement. So that's why I can't say but it might be someone very funny.

Speaker 7:          00:03:01       It might be somebody that hardly ever leaves L.A. and hardly ever leaves the Comedy Store. Mm hmm.

Speaker 8:          00:03:08       Wow this is exciting. I want to know who it is.

Speaker 5:          00:03:11       Okay. I don't even know who the fuck it is yet. I think I do. If if it is I think it is he's awesome. Yeah they're the comedy stores that means 80 percent awesome. You know even the 20 percent mediocre it's probably better than what you got in your town anyway.

Speaker 9:          00:03:23       Yeah.

Speaker 4:          00:03:25       So you're a powerful Ryan Keeley mob said All right you guys. We. This podcast is brought to you by Tang. I'm so glad that when when we we pick up a podcast sponsor you're always like oh what if these kinds of douche bags you know like what if that's like a big fear you know when you take on a sponsor because you know I'm on network I don't have a channel I'm just you know I'm just doing this thing and I'm trying to like navigate all this stuff by myself.

Speaker 10:         00:03:53       So my attitude with the whole thing was I looked and I said the most important thing first of all is that I don't feel duty like whatever we're selling and everybody's like then it's too late for you know for brain do she.

Speaker 4:          00:04:14       You know I just want to make sure that what we're selling is a good product. So I get all these emails and tweets tweets especially sometimes about talking about people saying how much money they're saving on Tang and guy one guy talked about it a couple of weeks ago. He wrote to me. He chopped his bill down from 90 bucks to like 18. I don't know how the fuck he did I know what he's doing. That sound sounded completely outrageous.

Speaker 7:          00:04:39       Well my bill has been that guy about twenty five dollars a month. I mean and I have to say that this is my second phone and this is you know my massage parlor phone. Dan would you say that you use it 50 percent as much as you earlier your other phone or I'd probably say my other phone I use it 50 percent more maybe it's maybe a little bit a little bit higher maybe 60 maybe six.

Speaker 11:         00:04:57       So probably be the equivalent of sixty dollars someone like that would you say that.

Speaker 12:         00:05:02       Yeah that makes sense. Yeah.

Speaker 7:          00:05:03       So if that's still him it's still cheaper than then what like. Right now I have you know the iPhone through AT&T as my main phone and that's about one hundred and twenty two hundred ten dollars a month. You

Speaker 4:          00:05:12       know it's fucking very pricey. Yeah. What thing does is they first of all they use the Sprint network then have their own network these one of the major networks in this country one that you know it's it's got 4G it's it's excellent and they also have the highest level of the most technologically advanced Android phones all these new fucking killer Android phones like the Samsung Galaxy S3 and the Samsung Galaxy Note They have the note 2 as well they're fucking incredibly things he used to be like you really lost something if you didn't get an iPhone like you really have you try to have one of those early Android they were dog shit. I had the first one was Oh you're so stupid those things are horrible that and those BlackBerry touch screens these to have eyes to have one of those the BlackBerry Storm.

Speaker 13:         00:06:00       Yeah fuckin storm of shit.

Speaker 4:          00:06:04       So that was diarrhea and that's stupid shit bag phone but these SAMs I have the Galaxy S3 it's fucking awesome it's great it's the coolest thing ever for like looking at websites. It's huge and it's very fast as well like the processor and it's not like clunky like like the droids of all. So anyway the waiting has it set up is they have no contracts so you buy a device set it up and go. You can go fuck yourself you could just cancel not only that they credit you on unused service if you if you use only a certain amount of your bill they actually like knock you down to the next level and your next bill and they credit you the difference it's it's beautiful it's everything you could ask for from a big company like a company that's dead I mean they're not one of the bigger cell phone companies.

Speaker 14:         00:06:53       I mean how many cell phone companies are there actually really stop thinking well there's like the big five or whenever you like T-Mobile Ryan Verizon AT&T it's like you generally thought of it's like this it's like a rise in powerful AT&T powerful T-Mobile you're on a budget yeah yeah.

Speaker 7:          00:07:11       Right now it is it's crazy because T-Mobile as you know they're new towers are pretty advanced and they don't have that fucking you know bandwidth hogs that you know AT&T and Verizon they're their bandwidth I mean so many people are on their network when something goes down half the people have Verizon or AT&T you know they're not gonna have cell phone service but then you have like T-Mobile guys they're like No I'm fine. That's a very good point. That's a very good point.

Speaker 5:          00:07:33       Yeah. And Sprint is a big one. Joey Diaz That's him forever. He loved it. I've never had it other than this but I've got no problems with it.

Speaker 2:          00:07:41       Yeah and the though the whole idea behind thing is that they're just going to offer you a service that's you know it's just it's reasonable. You don't have to get fucked over it doesn't have to be this idea that we all think that every company should try to squeeze every last dollar out of every last customer. I think that shit's stupid. I think most people rise up realizing that as well. So go to Rogan distinction and you can save yourself twenty five dollars off of either a phone or service from a very cool company were also brought to you by square space. So you have to ask yourself do you want to make a web site.

Speaker 10:         00:08:21       Bitch that's my question to you bitch. Do you want make a web site. And if you do let's get a real young guy learn no HMO OK. You're not going to use it. It's just not gonna happen. Okay let's be honest.

